position,velocity,context_0,context_1,context_2
-5.066666666666666,3.4000000000000004,True,True,True
-5.066666666666666,3.6000000000000005,True,True,True
-5.066666666666666,3.8000000000000007,True,True,True
-5.066666666666666,4.0,True,True,True
-4.8,-4.0,False,False,False
-4.8,-3.8,False,False,False
-4.8,-3.6,False,False,False
-4.8,-3.4,False,False,False
-4.8,-3.2,False,False,False
-4.8,-3.0,False,False,False
-4.8,-2.8,True,True,True
-4.8,-2.5999999999999996,True,True,True
-4.8,-2.4,True,True,True
-4.8,-2.2,True,True,True
-4.8,-2.0,True,True,True
-4.8,-1.7999999999999998,True,True,True
-4.8,-1.5999999999999996,True,True,True
-4.8,-1.4,True,True,True
-4.8,-1.1999999999999997,True,True,True
-4.8,-1.0,True,True,True
-4.8,-0.7999999999999998,True,True,True
-4.8,-0.5999999999999996,True,True,True
-4.8,-0.3999999999999999,True,True,True
-4.8,-0.19999999999999973,True,True,True
-4.8,0.0,True,True,True
-4.8,0.20000000000000018,True,True,True
-4.8,0.40000000000000036,True,True,True
-4.8,0.6000000000000005,True,True,True
-4.8,0.8000000000000007,True,True,True
-4.8,1.0,True,True,True
-4.8,1.2000000000000002,True,True,True
-4.8,1.4000000000000004,True,True,True
-4.8,1.6000000000000005,True,True,True
-4.8,1.8000000000000007,True,True,True
-4.8,2.0,True,True,True
-4.8,2.2,True,True,True
-4.8,2.4000000000000004,True,True,True
-4.8,2.6000000000000005,True,True,True
-4.8,2.8000000000000007,True,True,True
-4.8,3.0,True,True,True
-4.8,3.2,True,True,True
-4.8,3.4000000000000004,True,True,True
-4.8,3.6000000000000005,True,True,True
-4.8,3.8000000000000007,True,True,True
-4.8,4.0,True,True,True
-4.533333333333333,-4.0,False,False,False
-4.533333333333333,-3.8,False,False,False
-4.533333333333333,-3.6,False,False,False
-4.533333333333333,-3.4,False,False,False
-4.533333333333333,-3.2,False,False,False
-4.533333333333333,-3.0,True,True,True
-4.533333333333333,-2.8,True,True,True
-4.533333333333333,-2.5999999999999996,True,True,True
-4.533333333333333,-2.4,True,True,True
-4.533333333333333,-2.2,True,True,True
-4.533333333333333,-2.0,True,True,True
-4.533333333333333,-1.7999999999999998,True,True,True
-4.533333333333333,-1.5999999999999996,True,True,True
-4.533333333333333,-1.4,True,True,True
-4.533333333333333,-1.1999999999999997,True,True,True
-4.533333333333333,-1.0,True,True,True
-4.533333333333333,-0.7999999999999998,True,True,True
-4.533333333333333,-0.5999999999999996,True,True,True
-4.533333333333333,-0.3999999999999999,True,True,True
-4.533333333333333,-0.19999999999999973,True,True,True
-4.533333333333333,0.0,True,True,True
-4.533333333333333,0.20000000000000018,True,True,True
-4.533333333333333,0.40000000000000036,True,True,True
-4.533333333333333,0.6000000000000005,True,True,True
-4.533333333333333,0.8000000000000007,True,True,True
-4.533333333333333,1.0,True,True,True
-4.533333333333333,1.2000000000000002,True,True,True
-4.533333333333333,1.4000000000000004,True,True,True
-4.533333333333333,1.6000000000000005,True,True,True
-4.533333333333333,1.8000000000000007,True,True,True
